дата;цена;телефон;почта;имя
11.3.2021;100;8(999)1234567;u s e r 0 @ M A I L . R U;         Иван0
20.4.2020;10 руб;8(999)1234567;u s e r 1 @ M A I L . R U;      Иван1
6.8.2022;двадцать;8(999)1234567;u s e r 2 @ M A I L . R U;            Иван2
17.12.2022;10 руб;8(999)1234567;u s e r 3 @ M A I L . R U;            Иван3
8.1.2021;двадцать;+8 999 123 45 67;u s e r 4 @ M A I L . R U;            Иван4
25.4.2021;1O0O;8(999)1234567;u s e r 5 @ M A I L . R U;   Иван5
2.10.2022;106;8 912 12 34 56;u s e r 6 @ M A I L . R U;         Иван6
16.7.2021;10 руб;8(999)1234567;u s e r 7 @ M A I L . R U;         Иван7
3.6.2023;сто;8 912 12 34 56;u s e r 8 @ M A I L . R U;         Иван8
3.8.2020;сто;+8 999 123 45 67;u s e r 9 @ M A I L . R U;         Иван9
2.3.2022;двадцать;8 912 12 34 56;u s e r 1 0 @ M A I L . R U;   Иван10
10.10.2021;сто;8(999)1234567;u s e r 1 1 @ M A I L . R U;      Иван11
23.11.2022;1O0O;8(999)1234567;u s e r 1 2 @ M A I L . R U;      Иван12
14.3.2020;113;+8 999 123 45 67;u s e r 1 3 @ M A I L . R U;            Иван13
8.7.2021;114;8(999)1234567;u s e r 1 4 @ M A I L . R U;   Иван14
1.8.2022;10 руб;+8 999 123 45 67;u s e r 1 5 @ M A I L . R U;         Иван15
22.4.2023;116;8 912 12 34 56;u s e r 1 6 @ M A I L . R U;            Иван16
10.1.2021;1O0O;+8 999 123 45 67;u s e r 1 7 @ M A I L . R U;            Иван17
14.10.2020;сто;+8 999 123 45 67;u s e r 1 8 @ M A I L . R U;            Иван18
23.6.2020;сто;+8 999 123 45 67;u s e r 1 9 @ M A I L . R U;            Иван19
25.11.2021;10 руб;+8 999 123 45 67;u s e r 2 0 @ M A I L . R U;      Иван20
3.10.2020;1O0O;8 912 12 34 56;u s e r 2 1 @ M A I L . R U;   Иван21
24.7.2020;122;+8 999 123 45 67;u s e r 2 2 @ M A I L . R U;         Иван22
7.9.2022;1O0O;8 912 12 34 56;u s e r 2 3 @ M A I L . R U;            Иван23
8.3.2021;1O0O;8(999)1234567;u s e r 2 4 @ M A I L . R U;         Иван24
7.4.2021;1O0O;8 912 12 34 56;u s e r 2 5 @ M A I L . R U;         Иван25
22.1.2022;10 руб;8(999)1234567;u s e r 2 6 @ M A I L . R U;   Иван26
13.11.2022;сто;8 912 12 34 56;u s e r 2 7 @ M A I L . R U;         Иван27
5.12.2020;128;8(999)1234567;u s e r 2 8 @ M A I L . R U;   Иван28
10.6.2020;129;8(999)1234567;u s e r 2 9 @ M A I L . R U;   Иван29
1.8.2022;сто;8(999)1234567;u s e r 3 0 @ M A I L . R U;   Иван30
22.1.2021;сто;+8 999 123 45 67;u s e r 3 1 @ M A I L . R U;   Иван31
11.11.2021;сто;8(999)1234567;u s e r 3 2 @ M A I L . R U;   Иван32
12.12.2020;сто;8(999)1234567;u s e r 3 3 @ M A I L . R U;         Иван33
13.1.2021;сто;8 912 12 34 56;u s e r 3 4 @ M A I L . R U;   Иван34
28.12.2021;10 руб;8(999)1234567;u s e r 3 5 @ M A I L . R U;   Иван35
3.5.2021;10 руб;8 912 12 34 56;u s e r 3 6 @ M A I L . R U;   Иван36
17.11.2023;сто;8 912 12 34 56;u s e r 3 7 @ M A I L . R U;            Иван37
26.7.2023;двадцать;8(999)1234567;u s e r 3 8 @ M A I L . R U;            Иван38
16.3.2021;139;8(999)1234567;u s e r 3 9 @ M A I L . R U;      Иван39
25.8.2020;10 руб;8 912 12 34 56;u s e r 4 0 @ M A I L . R U;   Иван40
15.12.2022;141;+8 999 123 45 67;u s e r 4 1 @ M A I L . R U;            Иван41
17.5.2020;142;+8 (912) 345-67-89;u s e r 4 2 @ M A I L . R U;   Иван42
24.11.2021;143;8 912 12 34 56;u s e r 4 3 @ M A I L . R U;      Иван43
15.2.2023;сто;+8 999 123 45 67;u s e r 4 4 @ M A I L . R U;      Иван44
22.12.2022;сто;+8 999 123 45 67;u s e r 4 5 @ M A I L . R U;      Иван45
13.2.2023;двадцать;+8 999 123 45 67;u s e r 4 6 @ M A I L . R U;   Иван46
9.6.2021;147;+8 999 123 45 67;u s e r 4 7 @ M A I L . R U;      Иван47
24.2.2022;1O0O;+8 999 123 45 67;u s e r 4 8 @ M A I L . R U;         Иван48
3.11.2022;двадцать;8(999)1234567;u s e r 4 9 @ M A I L . R U;      Иван49
27.11.2023;сто;8 912 12 34 56;u s e r 5 0 @ M A I L . R U;         Иван50
25.12.2023;двадцать;8 912 12 34 56;u s e r 5 1 @ M A I L . R U;   Иван51
11.3.2022;сто;8(999)1234567;u s e r 5 2 @ M A I L . R U;         Иван52
26.5.2020;153;8(999)1234567;u s e r 5 3 @ M A I L . R U;   Иван53
13.7.2020;сто;+8 999 123 45 67;u s e r 5 4 @ M A I L . R U;   Иван54
16.4.2020;1O0O;+8 999 123 45 67;u s e r 5 5 @ M A I L . R U;         Иван55
27.2.2020;156;+8 (912) 345-67-89;u s e r 5 6 @ M A I L . R U;      Иван56
7.12.2021;1O0O;8 912 12 34 56;u s e r 5 7 @ M A I L . R U;            Иван57
28.7.2020;10 руб;+8 (912) 345-67-89;u s e r 5 8 @ M A I L . R U;         Иван58
11.9.2022;двадцать;+8 (912) 345-67-89;u s e r 5 9 @ M A I L . R U;      Иван59
19.8.2023;10 руб;8(999)1234567;u s e r 6 0 @ M A I L . R U;   Иван60
22.4.2023;1O0O;+8 (912) 345-67-89;u s e r 6 1 @ M A I L . R U;         Иван61
7.6.2020;двадцать;8 912 12 34 56;u s e r 6 2 @ M A I L . R U;   Иван62
24.6.2020;163;8 912 12 34 56;u s e r 6 3 @ M A I L . R U;         Иван63
27.3.2021;1O0O;+8 (912) 345-67-89;u s e r 6 4 @ M A I L . R U;      Иван64
1.2.2022;165;+8 999 123 45 67;u s e r 6 5 @ M A I L . R U;         Иван65
9.12.2023;1O0O;+8 999 123 45 67;u s e r 6 6 @ M A I L . R U;      Иван66
20.4.2021;1O0O;+8 (912) 345-67-89;u s e r 6 7 @ M A I L . R U;         Иван67
14.10.2020;10 руб;+8 (912) 345-67-89;u s e r 6 8 @ M A I L . R U;            Иван68
7.8.2021;сто;+8 999 123 45 67;u s e r 6 9 @ M A I L . R U;   Иван69
24.12.2022;двадцать;8(999)1234567;u s e r 7 0 @ M A I L . R U;            Иван70
25.4.2021;двадцать;8(999)1234567;u s e r 7 1 @ M A I L . R U;      Иван71
9.9.2022;172;+8 999 123 45 67;u s e r 7 2 @ M A I L . R U;         Иван72
2.8.2023;1O0O;8(999)1234567;u s e r 7 3 @ M A I L . R U;      Иван73
28.2.2022;174;8 912 12 34 56;u s e r 7 4 @ M A I L . R U;   Иван74
6.11.2022;10 руб;+8 999 123 45 67;u s e r 7 5 @ M A I L . R U;      Иван75
20.9.2023;176;+8 999 123 45 67;u s e r 7 6 @ M A I L . R U;   Иван76
28.3.2021;10 руб;+8 (912) 345-67-89;u s e r 7 7 @ M A I L . R U;   Иван77
3.6.2022;178;+8 (912) 345-67-89;u s e r 7 8 @ M A I L . R U;      Иван78
9.1.2023;179;+8 999 123 45 67;u s e r 7 9 @ M A I L . R U;   Иван79
