Line 1 | EMAILTest0@MAIL.RU | phone 79121204060 | date 1/1/23 | random ###@@@ UNPARSED_DATE 99-99-9999 BAD_PHONE 12345
Line 2 | EMAILTest1@MAIL.RU | phone 79121214161 | date 2/2/23 | random ###@@@
Line 3 | EMAILTest2@MAIL.RU | phone 79121224262 | date 3/3/23 | random ###@@@
Line 4 | EMAILTest3@MAIL.RU | phone 79121234363 | date 4/4/23 | random ###@@@
Line 5 | EMAILTest4@MAIL.RU | phone 79121244464 | date 5/5/23 | random ###@@@
Line 6 | EMAILTest5@MAIL.RU | phone 79121254565 | date 6/6/23 | random ###@@@
Line 7 | EMAILTest6@MAIL.RU | phone 79121264666 | date 7/7/23 | random ###@@@
Line 8 | EMAILTest7@MAIL.RU | phone 79121274767 | date 8/8/23 | random ###@@@ UNPARSED_DATE 99-99-9999
Line 9 | EMAILTest8@MAIL.RU | phone 79121284868 | date 9/9/23 | random ###@@@
Line 10 | EMAILTest9@MAIL.RU | phone 79121294969 | date 10/10/23 | random ###@@@ BAD_PHONE 12345
Line 11 | EMAILTest10@MAIL.RU | phone 79121204060 | date 11/11/23 | random ###@@@
Line 12 | EMAILTest11@MAIL.RU | phone 79121214161 | date 12/12/23 | random ###@@@
Line 13 | EMAILTest12@MAIL.RU | phone 79121224262 | date 13/1/23 | random ###@@@
Line 14 | EMAILTest13@MAIL.RU | phone 79121234363 | date 14/2/23 | random ###@@@
Line 15 | EMAILTest14@MAIL.RU | phone 79121244464 | date 15/3/23 | random ###@@@ UNPARSED_DATE 99-99-9999
Line 16 | EMAILTest15@MAIL.RU | phone 79121254565 | date 16/4/23 | random ###@@@
Line 17 | EMAILTest16@MAIL.RU | phone 79121264666 | date 17/5/23 | random ###@@@
Line 18 | EMAILTest17@MAIL.RU | phone 79121274767 | date 18/6/23 | random ###@@@
Line 19 | EMAILTest18@MAIL.RU | phone 79121284868 | date 19/7/23 | random ###@@@ BAD_PHONE 12345
Line 20 | EMAILTest19@MAIL.RU | phone 79121294969 | date 20/8/23 | random ###@@@
Line 21 | EMAILTest20@MAIL.RU | phone 79121204060 | date 21/9/23 | random ###@@@
Line 22 | EMAILTest21@MAIL.RU | phone 79121214161 | date 22/10/23 | random ###@@@ UNPARSED_DATE 99-99-9999
Line 23 | EMAILTest22@MAIL.RU | phone 79121224262 | date 23/11/23 | random ###@@@
Line 24 | EMAILTest23@MAIL.RU | phone 79121234363 | date 24/12/23 | random ###@@@
Line 25 | EMAILTest24@MAIL.RU | phone 79121244464 | date 25/1/23 | random ###@@@
Line 26 | EMAILTest25@MAIL.RU | phone 79121254565 | date 26/2/23 | random ###@@@
Line 27 | EMAILTest26@MAIL.RU | phone 79121264666 | date 27/3/23 | random ###@@@
Line 28 | EMAILTest27@MAIL.RU | phone 79121274767 | date 28/4/23 | random ###@@@ BAD_PHONE 12345
Line 29 | EMAILTest28@MAIL.RU | phone 79121284868 | date 1/5/23 | random ###@@@ UNPARSED_DATE 99-99-9999
Line 30 | EMAILTest29@MAIL.RU | phone 79121294969 | date 2/6/23 | random ###@@@
Line 31 | EMAILTest30@MAIL.RU | phone 79121204060 | date 3/7/23 | random ###@@@
Line 32 | EMAILTest31@MAIL.RU | phone 79121214161 | date 4/8/23 | random ###@@@
Line 33 | EMAILTest32@MAIL.RU | phone 79121224262 | date 5/9/23 | random ###@@@
