Name;Email;Phone;Date;Comment
User 0;USER0@EXAMPLE.COM;+7 999 120 40 60;1-1-2020;"TEXT;;;BROKEN"""""""
User 1;broken_email@@mail;000;32/13/9999;"TEXT;;;BROKEN"""""""
User 2;USER2@EXAMPLE.COM;000;32/13/9999;"TEXT;;;BROKEN"""""""
User 3;broken_email@@mail;+7 999 123 43 63;32/13/9999;"TEXT;;;BROKEN"""""""
User 4;USER4@EXAMPLE.COM;000;5-5-2021;"TEXT;;;BROKEN"""""""
User 5;broken_email@@mail;000;32/13/9999;"TEXT;;;BROKEN"""""""
User 6;USER6@EXAMPLE.COM;+7 999 126 46 66;32/13/9999;"TEXT;;;BROKEN"""""""
User 7;broken_email@@mail;000;32/13/9999;"TEXT;;;BROKEN"""""""
User 8;USER8@EXAMPLE.COM;000;9-9-2022;"TEXT;;;BROKEN"""""""
User 9;broken_email@@mail;+7 999 129 49 69;32/13/9999;"TEXT;;;BROKEN"""""""
User 10;USER10@EXAMPLE.COM;000;32/13/9999;"TEXT;;;BROKEN"""""""
User 11;broken_email@@mail;000;32/13/9999;"TEXT;;;BROKEN"""""""
User 12;USER12@EXAMPLE.COM;+7 999 122 42 62;13-1-2020;"TEXT;;;BROKEN"""""""
User 13;broken_email@@mail;000;32/13/9999;"TEXT;;;BROKEN"""""""
User 14;USER14@EXAMPLE.COM;000;32/13/9999;"TEXT;;;BROKEN"""""""
User 15;broken_email@@mail;+7 999 125 45 65;32/13/9999;"TEXT;;;BROKEN"""""""
User 16;USER16@EXAMPLE.COM;000;17-5-2021;"TEXT;;;BROKEN"""""""
User 17;broken_email@@mail;000;32/13/9999;"TEXT;;;BROKEN"""""""
User 18;USER18@EXAMPLE.COM;+7 999 128 48 68;32/13/9999;"TEXT;;;BROKEN"""""""
User 19;broken_email@@mail;000;32/13/9999;"TEXT;;;BROKEN"""""""
User 20;USER20@EXAMPLE.COM;000;21-9-2022;"TEXT;;;BROKEN"""""""
User 21;broken_email@@mail;+7 999 121 41 61;32/13/9999;"TEXT;;;BROKEN"""""""
User 22;USER22@EXAMPLE.COM;000;32/13/9999;"TEXT;;;BROKEN"""""""
User 23;broken_email@@mail;000;32/13/9999;"TEXT;;;BROKEN"""""""
User 24;USER24@EXAMPLE.COM;+7 999 124 44 64;25-1-2020;"TEXT;;;BROKEN"""""""
User 25;broken_email@@mail;000;32/13/9999;"TEXT;;;BROKEN"""""""
User 26;USER26@EXAMPLE.COM;000;32/13/9999;"TEXT;;;BROKEN"""""""
User 27;broken_email@@mail;+7 999 127 47 67;32/13/9999;"TEXT;;;BROKEN"""""""
User 28;USER28@EXAMPLE.COM;000;29-5-2021;"TEXT;;;BROKEN"""""""
User 29;broken_email@@mail;000;32/13/9999;"TEXT;;;BROKEN"""""""
