phone;amount;comment
79386497843;32034;test
79568445887;28091;test
88001702920;41864;test
79288056344;855;ok
79314266895;сумма;manual
79221143826;23151;import
79827478297;N/A;manual
79787229847;28191;error
79686126378;сумма;manual
79827178131;оплата;test
79658218358;36672;manual
88009504030;сумма;test
79996334097;38879;ok
88002111734;9630;manual
79226550516;сумма;import
79593878406;26954;ok
79222948022;оплата;manual
79811556609;сумма;error
79878278239;сумма;ok
79132968562;15980;ok
88003089656;оплата;ok
79878357869;N/A;manual
88007162545;6120;ok
79971129865;оплата;test
88004904911;3530;ok
79702364636;сумма;manual
79195452332;сумма;test
79602963041;76761;error
88001569089;25317;error
88003621532;сумма;import
79365142490;оплата;test
79129839391;5095;test
88001888080;N/A;import
79679680794;N/A;ok
88007683391;14922;ok
88009919026;42048;manual
79496689690;14738;error
88002564313;11556;manual
79862223988;N/A;error
79177799195;36223;import
79109302465;85104;manual
79566659678;сумма;import
79644370323;81729;test
79757182486;сумма;error
88004001873;97855;test
79196053824;93217;test
88005126526;48004;error
79131252779;56703;error
79458637981;28948;test
79192464361;78191;test
79906027801;сумма;error
79298939740;N/A;ok
88002512877;37014;ok
79145373796;N/A;ok
79659755063;сумма;error
88005891830;17856;ok
79145084160;сумма;ok
79039068793;20948;manual
79565755465;сумма;ok
79999518831;N/A;manual
79586088512;оплата;error
79596377797;сумма;error
88007986328;оплата;manual
88007127520;N/A;ok
79195016549;сумма;ok
88002531578;4605;ok
79893149379;оплата;ok
79803225854;14300;ok
79096542480;79535;test
79461882183;N/A;ok
79589412522;оплата;ok
79309054165;92680;ok
79994905161;N/A;ok
88002396328;N/A;import
79745414849;сумма;test
88004148261;11094;ok
79134498756;N/A;error
79462801662;сумма;ok
79497674199;89289;error
79989992837;30080;test
79681272779;N/A;test
79126757519;10167;error
79681417432;N/A;manual
79847421898;оплата;manual
79413714630;99163;import
79333078254;35591;import
79736181131;2157;import
88009747183;сумма;test
79485253994;29576;import
79921528771;N/A;manual
88008194995;оплата;import
88009353771;67909;test
79285613243;сумма;test
79292397828;21729;manual
79721666342;36643;import
79955345946;3237;test
79742801368;46024;ok
79612971302;N/A;error
79428011384;1500;test
79726777842;2309;import
79843080704;1381;test
88008145088;65551;manual
79935679059;N/A;error
88005219055;оплата;ok
79394076735;оплата;import
79357907807;23075;manual
79447028155;46356;import
79826744203;оплата;import
79573526537;N/A;manual
79907694325;оплата;ok
79095048574;48597;import
88006173690;76289;ok
79283489898;76977;error
79664981253;59305;import
88001772596;24954;manual
88001291687;69047;ok
79212955757;44582;ok
88009068996;оплата;ok
79947461241;16392;manual
79825453902;36476;import
79811905529;сумма;import
79357161485;оплата;ok
79634496876;27136;import
79562679304;71301;import
88003414810;5651;test
79793814424;N/A;ok
79438185517;оплата;test
88008646041;N/A;test
79641071015;10977;test
79941529297;сумма;ok
79879422894;оплата;test
79290794009;сумма;error
79696159484;73521;error
79555188084;42225;test
79613072838;12752;manual
79492106207;48034;manual
79262642497;93592;import
79728378839;72434;import
79958736365;20192;ok
79265888819;63052;import
79117067436;N/A;ok
79777627742;34406;ok
79518312123;оплата;import
79762971497;оплата;ok
79238249941;71261;test
79787748974;N/A;manual
88003496871;36401;manual
79955591045;оплата;error
88001809038;оплата;ok
79745927210;сумма;manual
79944376365;33607;test
88003385657;оплата;test
88007229740;33176;ok
79510669964;12563;test
79986514746;сумма;import
79897168936;N/A;error
79934847375;сумма;ok
79679780367;оплата;test
79252945375;41724;import
79319629177;37144;ok
79154734600;N/A;test
79832169578;сумма;error
79495253827;N/A;ok
79532564111;оплата;error
79551321617;сумма;import
79975792232;N/A;test
79736160525;2826;error
79598154635;1951;manual
79613441868;17845;ok
79356539701;сумма;manual
79108215670;97713;test
79966935129;31615;ok
79713313846;21398;ok
79718509436;N/A;manual
79364534053;2642;import
79732143684;77402;ok
79200296528;сумма;test
79368973135;10716;ok
79681969728;сумма;error
88002525953;769;import
79671547565;оплата;manual
79346505124;52191;ok
79964833099;сумма;manual
79495312421;23792;import
79766871640;22349;test
79263373763;6741;ok
79291423261;55658;error
79209507270;57755;ok
79551402880;42141;manual
79942079019;23845;manual
79238257592;72475;manual
79342593414;N/A;manual
79453653722;оплата;import
88004847918;оплата;ok
79762311355;9783;ok
79335358774;оплата;manual
79417170183;12320;manual
88005283527;оплата;test
88007627411;оплата;import
88007052435;оплата;ok
79726688934;55342;error
79368072636;сумма;test
79471434543;6049;ok
79254463369;31695;error
88002529439;5915;import
79351659212;37836;error
88008309795;83150;import
88006275859;81149;ok
79978467793;84019;manual
88004858535;31820;error
79160374390;37468;manual
79385285923;27387;manual
88009005978;11916;manual
79472106216;оплата;import
79845938322;88906;test
88007898796;7861;ok
79795695246;N/A;ok
79285198058;66939;import
79341716027;98403;test
88003757234;40972;test
79127996244;сумма;error
88002952582;сумма;ok
79858569588;37866;error
79913380974;85880;manual
79615838822;14327;manual
88009956473;54596;manual
79491221419;сумма;manual
79998587882;N/A;error
79865280684;45913;test
88004307468;сумма;ok
79828155390;оплата;test
79569107060;N/A;manual
88007745023;9820;manual
79771011550;сумма;import
79694267113;27875;test
79766813545;48779;error
79554604096;сумма;manual
79721724361;75793;import
79606596692;N/A;manual
79898111387;N/A;import
79945222820;80303;test
79344643094;25233;error
79875299887;оплата;import
88009848262;47678;ok
88005559262;N/A;import
79406467424;сумма;ok
79530861426;N/A;error
79498167546;55203;ok
79603551161;40984;import
79983178533;5564;error
79995192548;37330;manual
79327416791;78187;test
79583113964;оплата;manual
88008349196;оплата;ok
79604664047;сумма;manual
88009044158;оплата;test
79516613644;N/A;error
79782626622;28806;ok
79068530706;20968;ok
79213422453;30085;ok
79244828575;сумма;test
79266725770;сумма;error
79144283956;сумма;error
79144209765;6390;ok
79811860783;28485;import
79364445139;66344;error
79392398126;26794;import
79614615770;21579;error
79786749457;оплата;test
79474945498;N/A;manual
79191189070;6617;test
79841258741;5077;test
79546599193;сумма;error
79258558762;11655;manual
79314511716;16161;ok
88005509859;оплата;error
79065136423;N/A;error
79818738817;N/A;manual
79527137550;сумма;ok
79906369372;сумма;error
79562466970;62570;manual
79710264635;N/A;ok
79839054839;93254;ok
88003249020;сумма;test
79541837130;оплата;test
79409205820;2933;ok
79230470890;18726;import
79022248732;сумма;ok
88004911025;сумма;manual
79921847739;N/A;test
79368683953;29002;import
79997237211;N/A;test
79997823009;N/A;manual
79278239515;94159;ok
79609279167;15717;import
79469674018;83076;manual
79737798187;53841;ok
88006727849;53243;import
79174962227;сумма;error
88001826789;22167;test
79638331425;сумма;import
79792884658;оплата;manual
88002559787;15983;ok
79861587971;85332;import
79746213935;оплата;test
88004986696;20483;error
88003579682;сумма;ok
79244654442;оплата;test
79627802995;N/A;ok
79385211355;N/A;manual
79344254542;N/A;error
88001929393;N/A;manual
88005037021;N/A;ok
79334512398;оплата;import
79916746833;N/A;ok
79447499049;47590;import
79441022463;72209;ok
79320171982;33331;ok
79504420550;сумма;manual
79810930211;N/A;manual
79624875769;50824;error
88002855127;оплата;error
79966666273;38197;test
79207520348;оплата;error
88006951397;N/A;test
79281426323;42688;import
79164452120;оплата;test
88006028939;94347;error
79381439065;51691;test
79586499177;27767;manual
79661928578;37155;manual
79583784991;N/A;manual
79608386362;67148;test
88002906182;85553;test
79274569200;84202;import
88007696470;23665;error
79373969697;сумма;ok
79549682845;42716;ok
79386127717;30308;import
88004783822;37510;manual
79289448902;оплата;test
88007117637;90030;test
79897774796;26719;manual
79466472861;сумма;ok
79939644132;оплата;test
79427690144;47080;manual
88007198633;N/A;error
88004928845;N/A;ok
79527932442;сумма;manual
79474701541;оплата;error
79326961929;70563;import
88006304110;сумма;import
79453031714;42728;test
79872763684;оплата;manual
79869137653;80232;ok
79509031850;33944;manual
