phone,amount,comment
8 938 649 78 43,   32034   ,test
8 956 844 58 87,   28091   ,test
 8 800 170 29 20,   41864,test
8 928 805 63 44,855   ,ok
  89314266895 ,сумма,manual
  89221143826 ,   23151   ,import
+7 982  7478297,N/A,manual
8 978 722 98 47,28191   ,error
8 968 612 63 78,сумма,manual
  89827178131 ,оплата,test
+7 965  8218358,   36672   ,manual
 8 800 950 40 30,сумма,test
+7 999  6334097,38879   ,ok
 8 800 211 17 34,   9630   ,manual
+7 922  6550516,сумма,import
  89593878406 ,26954   ,ok
79222948022,оплата,manual
+7 981  1556609,сумма,error
79878278239,сумма,ok
79132968562,   15980,ok
 8 800 308 96 56,оплата,ok
79878357869,N/A,manual
 8 800 716 25 45,   6120   ,ok
  89971129865 ,оплата,test
 8 800 490 49 11,   3530,ok
8 970 236 46 36,сумма,manual
+7 919  5452332,сумма,test
79602963041,76761   ,error
 8 800 156 90 89,   25317   ,error
 8 800 362 15 32,сумма,import
+7 936  5142490,оплата,test
+7 912  9839391,   5095,test
 8 800 188 80 80,N/A,import
79679680794,N/A,ok
 8 800 768 33 91,   14922   ,ok
 8 800 991 90 26,   42048   ,manual
  89496689690 ,   14738   ,error
 8 800 256 43 13,11556   ,manual
8 986 222 39 88,N/A,error
79177799195,   36223,import
8 910 930 24 65,85104   ,manual
  89566659678 ,сумма,import
79644370323,81729   ,test
8 975 718 24 86,сумма,error
 8 800 400 18 73,97855   ,test
  89196053824 ,93217   ,test
 8 800 512 65 26,   48004,error
+7 913  1252779,   56703,error
  89458637981 ,   28948   ,test
79192464361,   78191,test
+7 990  6027801,сумма,error
  89298939740 ,N/A,ok
 8 800 251 28 77,   37014   ,ok
8 914 537 37 96,N/A,ok
+7 965  9755063,сумма,error
 8 800 589 18 30,   17856   ,ok
8 914 508 41 60,сумма,ok
  89039068793 ,   20948   ,manual
79565755465,сумма,ok
  89999518831 ,N/A,manual
  89586088512 ,оплата,error
8 959 637 77 97,сумма,error
 8 800 798 63 28,оплата,manual
 8 800 712 75 20,N/A,ok
+7 919  5016549,сумма,ok
 8 800 253 15 78,   4605,ok
79893149379,оплата,ok
79803225854,14300   ,ok
  89096542480 ,79535   ,test
8 946 188 21 83,N/A,ok
8 958 941 25 22,оплата,ok
  89309054165 ,   92680,ok
+7 999  4905161,N/A,ok
 8 800 239 63 28,N/A,import
+7 974  5414849,сумма,test
 8 800 414 82 61,   11094   ,ok
+7 913  4498756,N/A,error
  89462801662 ,сумма,ok
+7 949  7674199,89289   ,error
79989992837,   30080   ,test
  89681272779 ,N/A,test
79126757519,10167   ,error
+7 968  1417432,N/A,manual
8 984 742 18 98,оплата,manual
79413714630,   99163,import
8 933 307 82 54,35591   ,import
+7 973  6181131,2157   ,import
 8 800 974 71 83,сумма,test
+7 948  5253994,   29576   ,import
79921528771,N/A,manual
 8 800 819 49 95,оплата,import
 8 800 935 37 71,67909   ,test
79285613243,сумма,test
+7 929  2397828,   21729,manual
8 972 166 63 42,   36643   ,import
+7 995  5345946,   3237   ,test
  89742801368 ,   46024,ok
+7 961  2971302,N/A,error
79428011384,   1500   ,test
8 972 677 78 42,   2309,import
+7 984  3080704,   1381   ,test
 8 800 814 50 88,   65551,manual
8 993 567 90 59,N/A,error
 8 800 521 90 55,оплата,ok
  89394076735 ,оплата,import
79357907807,   23075   ,manual
79447028155,   46356   ,import
  89826744203 ,оплата,import
  89573526537 ,N/A,manual
8 990 769 43 25,оплата,ok
  89095048574 ,   48597   ,import
 8 800 617 36 90,76289   ,ok
+7 928  3489898,76977   ,error
8 966 498 12 53,59305   ,import
 8 800 177 25 96,   24954   ,manual
 8 800 129 16 87,   69047,ok
  89212955757 ,44582   ,ok
 8 800 906 89 96,оплата,ok
  89947461241 ,   16392   ,manual
  89825453902 ,   36476   ,import
8 981 190 55 29,сумма,import
8 935 716 14 85,оплата,ok
+7 963  4496876,27136   ,import
79562679304,71301   ,import
 8 800 341 48 10,   5651,test
8 979 381 44 24,N/A,ok
+7 943  8185517,оплата,test
 8 800 864 60 41,N/A,test
8 964 107 10 15,   10977,test
8 994 152 92 97,сумма,ok
8 987 942 28 94,оплата,test
79290794009,сумма,error
+7 969  6159484,   73521,error
  89555188084 ,   42225   ,test
79613072838,   12752,manual
+7 949  2106207,   48034   ,manual
8 926 264 24 97,93592   ,import
8 972 837 88 39,   72434,import
8 995 873 63 65,   20192,ok
79265888819,   63052,import
8 911 706 74 36,N/A,ok
8 977 762 77 42,   34406   ,ok
+7 951  8312123,оплата,import
8 976 297 14 97,оплата,ok
+7 923  8249941,   71261,test
8 978 774 89 74,N/A,manual
