phone;amount;comment
79386497843;"   32034   ";test
79568445887;"   28091   ";test
" 8 800 170 29 20";"   41864";test
79288056344;855   ;ok
79314266895;сумма;manual
79221143826;"   23151   ";import
+7 982  7478297;N/A;manual
79787229847;28191   ;error
79686126378;сумма;manual
79827178131;оплата;test
+7 965  8218358;"   36672   ";manual
" 8 800 950 40 30";сумма;test
+7 999  6334097;38879   ;ok
" 8 800 211 17 34";"   9630   ";manual
+7 922  6550516;сумма;import
79593878406;26954   ;ok
79222948022;оплата;manual
+7 981  1556609;сумма;error
79878278239;сумма;ok
79132968562;"   15980";ok
" 8 800 308 96 56";оплата;ok
79878357869;N/A;manual
" 8 800 716 25 45";"   6120   ";ok
79971129865;оплата;test
" 8 800 490 49 11";"   3530";ok
79702364636;сумма;manual
+7 919  5452332;сумма;test
79602963041;76761   ;error
" 8 800 156 90 89";"   25317   ";error
" 8 800 362 15 32";сумма;import
+7 936  5142490;оплата;test
+7 912  9839391;"   5095";test
" 8 800 188 80 80";N/A;import
79679680794;N/A;ok
" 8 800 768 33 91";"   14922   ";ok
" 8 800 991 90 26";"   42048   ";manual
79496689690;"   14738   ";error
" 8 800 256 43 13";11556   ;manual
79862223988;N/A;error
79177799195;"   36223";import
79109302465;85104   ;manual
79566659678;сумма;import
79644370323;81729   ;test
79757182486;сумма;error
" 8 800 400 18 73";97855   ;test
79196053824;93217   ;test
" 8 800 512 65 26";"   48004";error
+7 913  1252779;"   56703";error
79458637981;"   28948   ";test
79192464361;"   78191";test
+7 990  6027801;сумма;error
79298939740;N/A;ok
" 8 800 251 28 77";"   37014   ";ok
79145373796;N/A;ok
+7 965  9755063;сумма;error
" 8 800 589 18 30";"   17856   ";ok
79145084160;сумма;ok
79039068793;"   20948   ";manual
79565755465;сумма;ok
79999518831;N/A;manual
79586088512;оплата;error
79596377797;сумма;error
" 8 800 798 63 28";оплата;manual
" 8 800 712 75 20";N/A;ok
+7 919  5016549;сумма;ok
" 8 800 253 15 78";"   4605";ok
79893149379;оплата;ok
79803225854;14300   ;ok
79096542480;79535   ;test
79461882183;N/A;ok
79589412522;оплата;ok
79309054165;"   92680";ok
+7 999  4905161;N/A;ok
" 8 800 239 63 28";N/A;import
+7 974  5414849;сумма;test
" 8 800 414 82 61";"   11094   ";ok
+7 913  4498756;N/A;error
79462801662;сумма;ok
+7 949  7674199;89289   ;error
79989992837;"   30080   ";test
79681272779;N/A;test
79126757519;10167   ;error
+7 968  1417432;N/A;manual
79847421898;оплата;manual
79413714630;"   99163";import
79333078254;35591   ;import
+7 973  6181131;2157   ;import
" 8 800 974 71 83";сумма;test
+7 948  5253994;"   29576   ";import
79921528771;N/A;manual
" 8 800 819 49 95";оплата;import
" 8 800 935 37 71";67909   ;test
79285613243;сумма;test
+7 929  2397828;"   21729";manual
79721666342;"   36643   ";import
+7 995  5345946;"   3237   ";test
79742801368;"   46024";ok
+7 961  2971302;N/A;error
79428011384;"   1500   ";test
79726777842;"   2309";import
+7 984  3080704;"   1381   ";test
" 8 800 814 50 88";"   65551";manual
79935679059;N/A;error
" 8 800 521 90 55";оплата;ok
79394076735;оплата;import
79357907807;"   23075   ";manual
79447028155;"   46356   ";import
79826744203;оплата;import
79573526537;N/A;manual
79907694325;оплата;ok
79095048574;"   48597   ";import
" 8 800 617 36 90";76289   ;ok
+7 928  3489898;76977   ;error
79664981253;59305   ;import
" 8 800 177 25 96";"   24954   ";manual
" 8 800 129 16 87";"   69047";ok
79212955757;44582   ;ok
" 8 800 906 89 96";оплата;ok
79947461241;"   16392   ";manual
79825453902;"   36476   ";import
79811905529;сумма;import
79357161485;оплата;ok
+7 963  4496876;27136   ;import
79562679304;71301   ;import
" 8 800 341 48 10";"   5651";test
79793814424;N/A;ok
+7 943  8185517;оплата;test
" 8 800 864 60 41";N/A;test
79641071015;"   10977";test
79941529297;сумма;ok
79879422894;оплата;test
79290794009;сумма;error
+7 969  6159484;"   73521";error
79555188084;"   42225   ";test
79613072838;"   12752";manual
+7 949  2106207;"   48034   ";manual
79262642497;93592   ;import
79728378839;"   72434";import
79958736365;"   20192";ok
79265888819;"   63052";import
79117067436;N/A;ok
79777627742;"   34406   ";ok
+7 951  8312123;оплата;import
79762971497;оплата;ok
+7 923  8249941;"   71261";test
79787748974;N/A;manual
" 8 800 349 68 71";"   36401";manual
79955591045;оплата;error
" 8 800 180 90 38";оплата;ok
+7 974  5927210;сумма;manual
+7 994  4376365;"   33607   ";test
" 8 800 338 56 57";оплата;test
" 8 800 722 97 40";"   33176   ";ok
79510669964;"   12563   ";test
79986514746;сумма;import
79897168936;N/A;error
79934847375;сумма;ok
+7 967  9780367;оплата;test
79252945375;"   41724   ";import
79319629177;37144   ;ok
79154734600;N/A;test
79832169578;сумма;error
+7 949  5253827;N/A;ok
79532564111;оплата;error
79551321617;сумма;import
79975792232;N/A;test
79736160525;"   2826   ";error
79598154635;"   1951";manual
79613441868;17845   ;ok
+7 935  6539701;сумма;manual
79108215670;97713   ;test
79966935129;31615   ;ok
79713313846;"   21398";ok
79718509436;N/A;manual
+7 936  4534053;"   2642";import
79732143684;77402   ;ok
79200296528;сумма;test
79368973135;"   10716   ";ok
79681969728;сумма;error
" 8 800 252 59 53";769   ;import
79671547565;оплата;manual
+7 934  6505124;"   52191";ok
79964833099;сумма;manual
79495312421;"   23792   ";import
79766871640;"   22349   ";test
79263373763;"   6741   ";ok
79291423261;55658   ;error
79209507270;"   57755";ok
79551402880;"   42141";manual
+7 994  2079019;"   23845";manual
79238257592;"   72475";manual
79342593414;N/A;manual
79453653722;оплата;import
" 8 800 484 79 18";оплата;ok
79762311355;9783   ;ok
79335358774;оплата;manual
79417170183;12320   ;manual
" 8 800 528 35 27";оплата;test
" 8 800 762 74 11";оплата;import
" 8 800 705 24 35";оплата;ok
+7 972  6688934;"   55342";error
79368072636;сумма;test
79471434543;"   6049   ";ok
79254463369;31695   ;error
" 8 800 252 94 39";"   5915   ";import
79351659212;37836   ;error
" 8 800 830 97 95";"   83150";import
" 8 800 627 58 59";"   81149";ok
+7 997  8467793;"   84019";manual
" 8 800 485 85 35";"   31820   ";error
79160374390;"   37468";manual
79385285923;"   27387   ";manual
" 8 800 900 59 78";"   11916";manual
+7 947  2106216;оплата;import
79845938322;88906   ;test
" 8 800 789 87 96";"   7861   ";ok
79795695246;N/A;ok
+7 928  5198058;"   66939";import
+7 934  1716027;98403   ;test
" 8 800 375 72 34";"   40972";test
79127996244;сумма;error
" 8 800 295 25 82";сумма;ok
79858569588;"   37866   ";error
+7 991  3380974;85880   ;manual
+7 961  5838822;"   14327   ";manual
" 8 800 995 64 73";"   54596";manual
79491221419;сумма;manual
79998587882;N/A;error
79865280684;45913   ;test
" 8 800 430 74 68";сумма;ok
79828155390;оплата;test
79569107060;N/A;manual
" 8 800 774 50 23";"   9820   ";manual
+7 977  1011550;сумма;import
+7 969  4267113;"   27875";test
79766813545;"   48779";error
79554604096;сумма;manual
+7 972  1724361;75793   ;import
79606596692;N/A;manual
+7 989  8111387;N/A;import
79945222820;"   80303";test
79344643094;"   25233   ";error
79875299887;оплата;import
" 8 800 984 82 62";"   47678";ok
" 8 800 555 92 62";N/A;import
79406467424;сумма;ok
79530861426;N/A;error
79498167546;"   55203";ok
79603551161;40984   ;import
79983178533;5564   ;error
+7 999  5192548;37330   ;manual
79327416791;"   78187";test
+7 958  3113964;оплата;manual
" 8 800 834 91 96";оплата;ok
+7 960  4664047;сумма;manual
" 8 800 904 41 58";оплата;test
79516613644;N/A;error
79782626622;28806   ;ok
79068530706;"   20968   ";ok
79213422453;"   30085   ";ok
+7 924  4828575;сумма;test
79266725770;сумма;error
79144283956;сумма;error
+7 914  4209765;"   6390   ";ok
79811860783;"   28485   ";import
